City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,East London,ZA,2020-04-07 00:53:30,-33.02,27.91,62.73,56,76,21.32,broken clouds,0.0,0.0
53,Thompson,CA,2020-04-07 00:53:30,55.74,-97.86,24.8,68,75,9.17,broken clouds,0.0,0.0
54,Jamestown,US,2020-04-07 00:50:43,42.1,-79.24,48.2,23,90,6.93,overcast clouds,0.0,0.0
55,Gyanpur,IN,2020-04-07 00:53:30,25.35,82.47,75.99,23,0,5.3,clear sky,0.0,0.0
56,Itarema,BR,2020-04-07 00:53:30,-2.92,-39.92,79.25,87,95,6.55,light rain,0.010629921259842521,0.0
57,Lorengau,PG,2020-04-07 00:53:30,-2.02,147.27,82.67,77,91,5.97,moderate rain,0.14133858267716537,0.0
58,Bluff,NZ,2020-04-07 00:53:31,-46.6,168.33,57.0,72,73,15.99,light rain,0.02716535433070866,0.0
59,Mao,ES,2020-04-07 00:53:31,39.89,4.27,51.8,87,33,3.36,scattered clouds,0.0,0.0
60,Vaini,TO,2020-04-07 00:53:31,-21.2,-175.2,78.8,78,90,8.05,light intensity drizzle,0.0,0.0
61,Chapais,CA,2020-04-07 00:53:31,49.78,-74.85,28.4,58,90,4.7,overcast clouds,0.0,0.0
62,Port Alfred,ZA,2020-04-07 00:53:08,-33.59,26.89,59.83,59,49,24.81,scattered clouds,0.0,0.0
63,Egvekinot,RU,2020-04-07 00:53:31,66.32,-179.17,2.01,83,16,3.91,few clouds,0.0,0.0
64,Sitka,US,2020-04-07 00:53:31,57.05,-135.33,35.6,80,75,17.22,light rain,0.0,0.0
65,Kuching,MY,2020-04-07 00:53:31,1.55,110.33,78.8,94,20,1.3,few clouds,0.0,0.0
66,Pangnirtung,CA,2020-04-07 00:53:31,66.15,-65.71,13.08,80,5,6.82,clear sky,0.0,0.0
67,Cabo San Lucas,MX,2020-04-07 00:53:31,22.89,-109.91,75.2,47,90,12.75,overcast clouds,0.0,0.0
68,Along,IN,2020-04-07 00:53:31,28.17,94.77,61.3,58,45,4.25,scattered clouds,0.0,0.0
69,Talara,PE,2020-04-07 00:53:31,-4.58,-81.27,76.55,71,17,10.36,few clouds,0.0,0.0
70,Nabire,ID,2020-04-07 00:53:32,-3.37,135.48,82.36,73,95,5.97,light rain,0.08818897637795277,0.0
71,Cockburn Town,TC,2020-04-07 00:53:32,21.46,-71.14,76.48,70,0,13.67,clear sky,0.0,0.0
72,Chuy,UY,2020-04-07 00:51:05,-33.7,-53.46,58.06,58,1,16.22,clear sky,0.0,0.0
73,Aklavik,CA,2020-04-07 00:53:32,68.22,-135.01,28.4,50,75,11.41,broken clouds,0.0,0.0
74,Noyabrsk,RU,2020-04-07 00:53:32,63.2,75.45,32.9,94,100,18.12,snow,0.0,0.07244094488188978
75,Batemans Bay,AU,2020-04-07 00:53:32,-35.72,150.18,69.01,50,59,2.15,broken clouds,0.0,0.0
76,Torbay,CA,2020-04-07 00:53:32,47.67,-52.73,32.0,80,90,13.87,light snow,0.0,0.0
77,Kyaikto,MM,2020-04-07 00:53:32,17.3,97.02,75.83,89,43,3.56,scattered clouds,0.0,0.0
78,Tasiilaq,GL,2020-04-07 00:53:32,65.61,-37.64,28.4,100,100,8.95,light snow,0.0,0.0
79,Vardo,NO,2020-04-07 00:53:33,70.37,31.11,30.69,96,99,21.18,light snow,0.0,0.006692913385826772
80,Puerto Ayora,EC,2020-04-07 00:53:33,-0.74,-90.35,82.4,83,20,10.29,few clouds,0.0,0.0
81,Sremski Karlovci,RS,2020-04-07 00:53:33,45.2,19.93,44.01,38,0,6.93,clear sky,0.0,0.0
82,Carauari,BR,2020-04-07 00:53:33,-4.88,-66.9,76.84,92,98,2.21,light rain,0.006299212598425198,0.0
83,Kindu,CD,2020-04-07 00:53:33,-2.95,25.95,70.57,86,99,2.64,light rain,0.09488188976377954,0.0
84,Kieta,PG,2020-04-07 00:53:33,-6.22,155.63,85.37,60,82,2.15,broken clouds,0.0,0.0
85,Kodiak,US,2020-04-07 00:53:33,57.79,-152.41,37.4,32,1,9.17,clear sky,0.0,0.0
86,Camacha,PT,2020-04-07 00:53:33,33.08,-16.33,66.2,93,75,6.93,broken clouds,0.0,0.0
87,Iacu,BR,2020-04-07 00:53:34,-12.77,-40.21,74.03,82,53,4.61,broken clouds,0.0,0.0
88,Punta Arenas,CL,2020-04-07 00:52:33,-53.15,-70.92,51.8,71,100,16.11,overcast clouds,0.0,0.0
89,Bengkulu,ID,2020-04-07 00:53:34,-3.8,102.27,77.54,81,96,6.2,light rain,0.017716535433070866,0.0
90,Araceli,PH,2020-04-07 00:53:34,10.55,119.99,81.9,73,13,13.87,few clouds,0.0,0.0
91,Provideniya,RU,2020-04-07 00:53:34,64.38,-173.3,10.4,60,44,2.24,scattered clouds,0.0,0.0
92,El Paso,US,2020-04-07 00:50:32,31.76,-106.49,73.4,17,90,12.75,overcast clouds,0.0,0.0
93,Ilebo,CD,2020-04-07 00:53:35,-4.32,20.58,72.68,73,21,1.3,few clouds,0.0,0.0
94,Mount Gambier,AU,2020-04-07 00:53:35,-37.83,140.77,55.4,71,90,4.7,overcast clouds,0.0,0.0
95,Sao Filipe,CV,2020-04-07 00:53:35,14.9,-24.5,73.4,71,0,11.92,clear sky,0.0,0.0
96,Lexington Park,US,2020-04-07 00:53:35,38.27,-76.45,59.0,62,20,6.93,few clouds,0.0,0.0
97,Beyneu,KZ,2020-04-07 00:53:35,45.32,55.2,38.35,75,23,21.41,few clouds,0.0,0.0
98,Morondava,MG,2020-04-07 00:53:35,-20.28,44.28,76.48,82,12,5.12,few clouds,0.0,0.0
99,Kichera,RU,2020-04-07 00:53:35,55.94,110.1,32.25,69,0,4.97,clear sky,0.0,0.0
100,Kota Kinabalu,MY,2020-04-07 00:53:35,5.97,116.07,84.99,83,20,3.36,few clouds,0.0,0.0
101,Caxito,AO,2020-04-07 00:53:35,-8.58,13.66,80.6,83,40,8.05,scattered clouds,0.0,0.0
102,Sulzbach,DE,2020-04-07 00:53:35,49.3,7.07,50.0,75,0,1.12,clear sky,0.0,0.0
103,Gornyy,RU,2020-04-07 00:53:36,55.12,83.91,34.3,92,100,6.49,overcast clouds,0.0,0.0
104,Waingapu,ID,2020-04-07 00:53:36,-9.66,120.26,82.44,72,99,3.38,overcast clouds,0.0,0.0
105,Tateyama,JP,2020-04-07 00:53:36,34.98,139.87,57.99,54,75,12.75,broken clouds,0.0,0.0
106,Matagami,CA,2020-04-07 00:53:36,49.75,-77.63,32.0,96,1,4.7,clear sky,0.0,0.0
107,Nuevo Progreso,MX,2020-04-07 00:53:36,23.17,-97.95,80.01,71,40,1.01,scattered clouds,0.0,0.0
108,Manta,EC,2020-04-07 00:50:07,-0.95,-80.73,78.8,88,75,2.24,broken clouds,0.0,0.0
109,Tuktoyaktuk,CA,2020-04-07 00:53:36,69.45,-133.04,23.0,85,75,16.11,broken clouds,0.0,0.0
110,Seydi,TM,2020-04-07 00:53:36,39.48,62.91,61.81,44,20,12.53,few clouds,0.0,0.0
111,Ribeira Grande,PT,2020-04-07 00:53:30,38.52,-28.7,63.41,90,85,14.74,overcast clouds,0.0,0.0
112,Guerrero Negro,MX,2020-04-07 00:53:36,27.98,-114.06,63.75,57,96,15.59,overcast clouds,0.0,0.0
113,Castro,BR,2020-04-07 00:53:36,-24.79,-50.01,63.99,71,91,7.92,moderate rain,0.3937007874015748,0.0
114,Saldanha,ZA,2020-04-07 00:53:37,-33.01,17.94,48.2,87,15,1.12,few clouds,0.0,0.0
115,Lasa,IT,2020-04-07 00:53:37,46.62,10.7,42.01,74,5,5.82,clear sky,0.0,0.0
116,Klaksvik,FO,2020-04-07 00:53:37,62.23,-6.59,41.0,75,14,3.36,few clouds,0.0,0.0
117,Souillac,MU,2020-04-07 00:53:38,-20.52,57.52,78.01,78,75,19.46,broken clouds,0.0,0.0
118,Yuxia,CN,2020-04-07 00:53:38,34.06,108.63,59.0,71,99,2.24,overcast clouds,0.0,0.0
119,Maple Creek,CA,2020-04-07 00:53:38,49.92,-109.48,39.49,49,35,8.32,scattered clouds,0.0,0.0
120,Saint-Augustin,CA,2020-04-07 00:53:38,51.23,-58.65,29.14,97,100,6.35,light snow,0.0,0.05472440944881889
121,Devonport,AU,2020-04-07 00:53:39,-41.17,146.35,60.01,61,5,3.0,clear sky,0.0,0.0
122,Piacabucu,BR,2020-04-07 00:53:39,-10.41,-36.43,79.9,85,12,5.91,light rain,0.008661417322834646,0.0
123,Dikson,RU,2020-04-07 00:53:07,73.51,80.55,1.17,94,91,11.39,overcast clouds,0.0,0.0
124,Emerald,AU,2020-04-07 00:53:39,-23.53,148.17,79.0,39,87,9.17,overcast clouds,0.0,0.0
