City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tuy Hoa,VN,2020-04-06 00:20:47,13.08,109.3,79.38,78,21,6.44
70,Severo-Kurilsk,RU,2020-04-06 00:20:47,50.68,156.12,34.0,88,47,16.42
71,Katsuura,JP,2020-04-06 00:20:47,35.13,140.3,55.4,37,20,6.93
72,Coihaique,CL,2020-04-06 00:17:16,-45.58,-72.07,41.0,71,40,5.75
73,Hue,VN,2020-04-06 00:20:47,16.47,107.6,73.58,92,90,4.92
74,Hithadhoo,MV,2020-04-06 00:20:47,-0.6,73.08,82.65,74,4,5.59
75,Gat,IL,2020-04-06 00:17:02,31.61,34.76,60.8,82,75,5.82
76,Marzuq,YE,2020-04-06 00:20:48,14.4,46.47,72.05,27,0,3.56
77,Kondratovo,RU,2020-04-06 00:20:48,57.98,56.11,24.8,79,20,2.24
78,Kaura Namoda,NG,2020-04-06 00:20:48,12.59,6.58,86.99,15,91,5.77
79,Hambantota,LK,2020-04-06 00:20:49,6.12,81.12,79.03,78,0,6.55
80,Tuktoyaktuk,CA,2020-04-06 00:20:49,69.45,-133.04,24.8,85,75,24.16
81,Mnogovershinnyy,RU,2020-04-06 00:20:49,53.94,139.92,27.46,90,38,3.78
82,Bilma,NE,2020-04-06 00:20:50,18.69,12.92,82.99,12,0,8.01
83,High Level,CA,2020-04-06 00:20:50,58.52,-117.14,30.2,46,40,10.29
84,Barrow,US,2020-04-06 00:20:51,71.29,-156.79,24.8,92,90,10.29
85,Hassleholm,SE,2020-04-06 00:20:51,56.16,13.77,43.0,77,24,2.24
86,Norman Wells,CA,2020-04-06 00:20:51,65.28,-126.83,26.6,58,20,21.92
87,Kasungu,MW,2020-04-06 00:20:51,-13.03,33.48,62.85,65,42,2.24
88,Ancud,CL,2020-04-06 00:20:52,-41.87,-73.82,46.4,75,20,5.82
89,Lebu,CL,2020-04-06 00:20:52,-37.62,-73.65,55.2,80,0,10.18
90,Faanui,PF,2020-04-06 00:20:53,-16.48,-151.75,83.53,72,2,8.52
91,Ewa Beach,US,2020-04-06 00:19:29,21.32,-158.01,82.4,69,1,8.05
92,Portland,US,2020-04-06 00:20:18,45.52,-122.68,64.4,42,20,8.05
93,Kahta,TR,2020-04-06 00:20:53,37.79,38.62,51.8,87,75,11.41
94,Gravdal,NO,2020-04-06 00:20:53,68.12,13.5,31.89,88,98,20.11
95,Te Anau,NZ,2020-04-06 00:20:54,-45.42,167.72,59.52,68,100,6.08
96,Carauari,BR,2020-04-06 00:20:54,-4.88,-66.9,77.02,91,93,1.05
97,Jijiga,ET,2020-04-06 00:20:54,9.35,42.8,64.9,39,0,5.77
98,Khatanga,RU,2020-04-06 00:20:37,71.97,102.5,27.46,98,95,14.52
99,Hobart,AU,2020-04-06 00:16:47,-42.88,147.33,57.99,50,75,12.75
100,Coquimbo,CL,2020-04-06 00:17:23,-29.95,-71.34,60.8,82,0,2.24
101,Salta,AR,2020-04-06 00:19:28,-24.79,-65.41,64.4,88,47,3.36
102,Bluff,NZ,2020-04-06 00:20:55,-46.6,168.33,60.01,90,100,5.01
103,Riyadh,SA,2020-04-06 00:20:16,24.69,46.72,75.2,31,75,3.36
104,Poronaysk,RU,2020-04-06 00:20:56,49.22,143.12,34.16,93,100,18.61
105,Meulaboh,ID,2020-04-06 00:20:56,4.14,96.13,79.5,79,99,2.3
106,Hasaki,JP,2020-04-06 00:20:56,35.73,140.83,55.0,37,20,13.87
107,Tame,CO,2020-04-06 00:20:56,6.46,-71.73,80.37,59,100,1.25
108,Vanimo,PG,2020-04-06 00:20:57,-2.67,141.3,82.22,76,99,5.86
109,Mabaruma,GY,2020-04-06 00:20:57,8.2,-59.78,77.07,84,61,6.62
110,Narsaq,GL,2020-04-06 00:20:57,60.92,-46.05,24.8,45,51,6.93
111,Viedma,AR,2020-04-06 00:20:57,-40.81,-63.0,56.66,40,34,9.73
112,Abay,KZ,2020-04-06 00:20:13,49.63,72.85,39.2,93,40,4.47
113,Yurginskoye,RU,2020-04-06 00:18:39,56.82,67.39,33.73,90,68,4.03
114,Honningsvag,NO,2020-04-06 00:20:57,70.98,25.97,28.4,68,75,11.41
115,Avarua,CK,2020-04-06 00:20:58,-21.21,-159.78,82.4,83,75,5.82
116,Saint Anthony,US,2020-04-06 00:20:58,45.02,-93.22,55.4,34,40,9.17
117,Georgetown,MY,2020-04-06 00:20:58,5.41,100.34,78.8,94,20,3.36
118,Tiksi,RU,2020-04-06 00:20:58,71.69,128.87,20.32,93,95,24.85
119,Bambanglipuro,ID,2020-04-06 00:20:58,-7.95,110.28,81.01,81,92,3.96
120,Finschhafen,PG,2020-04-06 00:20:58,-6.6,147.87,84.27,66,61,5.88
121,Ribeira Grande,PT,2020-04-06 00:20:58,38.52,-28.7,59.07,84,79,11.48
122,Lugovoy,KZ,2020-04-06 00:20:58,42.95,72.76,51.64,70,88,3.83
123,Leh,IN,2020-04-06 00:20:58,34.17,77.58,13.51,30,29,4.27
124,Siderno,IT,2020-04-06 00:20:58,38.28,16.3,57.99,71,75,5.82
125,Chokurdakh,RU,2020-04-06 00:20:59,70.63,147.92,7.41,94,81,7.85
126,South Venice,US,2020-04-06 00:20:59,27.05,-82.42,68.0,100,90,12.75
127,Ponta Do Sol,PT,2020-04-06 00:20:59,32.67,-17.1,66.2,82,75,2.24
128,Pisco,PE,2020-04-06 00:20:59,-13.7,-76.22,73.4,83,0,16.11
129,Havre,FR,2020-04-06 00:20:59,49.58,0.33,60.8,41,0,5.82
130,Provideniya,RU,2020-04-06 00:20:59,64.38,-173.3,10.4,72,100,15.66
131,Bethel,US,2020-04-06 00:20:59,41.37,-73.41,55.99,76,1,3.36
132,Orumiyeh,IR,2020-04-06 00:16:09,37.55,45.08,46.4,70,90,4.7
133,Cherskiy,RU,2020-04-06 00:20:59,68.75,161.3,5.23,90,0,14.23
134,Brewster,US,2020-04-06 00:21:00,41.4,-73.62,57.99,76,1,3.36
135,Cayenne,GF,2020-04-06 00:21:00,4.93,-52.33,82.4,78,75,9.17
136,Cidreira,BR,2020-04-06 00:21:00,-30.18,-50.21,70.5,82,5,17.18
137,Hesla,IN,2020-04-06 00:18:04,24.07,85.88,72.97,19,0,5.12
138,Jamestown,US,2020-04-06 00:21:00,42.1,-79.24,53.01,65,20,8.05
139,Port Elizabeth,ZA,2020-04-06 00:21:00,-33.92,25.57,64.4,77,82,14.99
140,Hervey Bay,AU,2020-04-06 00:21:00,-25.3,152.85,78.8,50,1,12.75
141,Donja Dubica,BA,2020-04-06 00:21:00,45.08,18.41,45.0,65,22,10.29
142,Soledar,UA,2020-04-06 00:21:00,48.68,38.09,36.48,71,4,9.66
143,Inhambane,MZ,2020-04-06 00:21:01,-23.86,35.38,73.62,82,0,8.7
144,Aykhal,RU,2020-04-06 00:21:01,66.0,111.5,28.4,63,73,8.95
145,Turka,UA,2020-04-06 00:21:01,49.15,23.03,39.99,51,0,3.4
146,Rincon,US,2020-04-06 00:21:01,32.3,-81.24,69.8,73,75,6.93
147,Arlit,NE,2020-04-06 00:21:01,18.74,7.39,83.34,11,0,6.22
148,Kodiak,US,2020-04-06 00:21:01,57.79,-152.41,39.2,41,1,17.22
149,Avera,US,2020-04-06 00:21:02,33.19,-82.53,75.2,64,1,4.7
150,Port Hardy,CA,2020-04-06 00:21:02,50.7,-127.42,48.2,51,20,10.29
