,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
267,Chicama,PE,77.31,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
268,Kinshasa,CD,77.0,broken clouds,-4.32,15.32,Kabinda Center
278,Bull Savanna,JM,76.17,scattered clouds,17.89,-77.59,Big Red's
279,Noumea,NC,87.8,few clouds,-22.28,166.46,Hôtel Le Lagon
281,Benjamin Constant,BR,77.0,scattered clouds,-4.38,-70.03,CASA AVALIADA
286,Wanning,CN,75.63,light rain,18.8,110.4,Paradise Hotel
290,Mahibadhoo,MV,83.8,light rain,3.78,72.97,Omadhoo Inn
293,Manzanillo,CU,77.77,scattered clouds,20.34,-77.12,Adrian & Tonia
294,Nagod,IN,75.6,clear sky,24.57,80.6,Seru Sageer Age Senter
296,La Reforma,MX,86.0,broken clouds,25.08,-108.05,
297,San Matias,BO,79.21,overcast clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
298,Meulaboh,ID,79.5,moderate rain,4.14,96.13,Kost Pria
299,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
301,George Town,MY,78.8,few clouds,5.41,100.34,Cititel Penang
304,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
307,Tarakan,ID,80.06,light rain,3.3,117.63,Hotel D' CaLia Tarakan
308,Bubaque,GW,79.25,clear sky,11.28,-15.83,Casa Dora
311,Carnarvon,AU,75.2,few clouds,-24.87,113.63,Hospitality Carnarvon
312,Vao,NC,77.2,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
317,Cayenne,GF,82.4,broken clouds,4.93,-52.33,Hôtel Le Dronmi
319,Jacareacanga,BR,77.4,light rain,-6.22,-57.75,Casa do Ian😎
321,Esna,EG,75.2,haze,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
323,Acapulco,MX,82.4,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
324,Qui Nhon,VN,78.57,light rain,13.77,109.23,Seagull Hotel
326,Caravelas,BR,77.9,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
334,San Nicolas,PH,80.6,scattered clouds,18.17,120.6,NORTHVIEW Hotel
335,Amod,IN,77.83,clear sky,21.98,72.9,"Aman Residency,Bhimpura."
340,Santo Antonio Do Ica,BR,77.27,light rain,-3.1,-67.94,Hotel Fogaça
341,Omboue,GA,79.83,broken clouds,-1.57,9.26,Hotel Olako
345,Cololaca,HN,80.31,light rain,14.3,-88.88,77 barrio el chile
348,Humaita,BR,78.85,light rain,-7.51,-63.02,Corrêa Hotel
353,Bogande,BF,85.93,clear sky,12.97,-0.14,CSPS DE WALLIN
354,Lubao,PH,84.2,scattered clouds,14.92,120.55,Hacienda Gracia
356,Peringat,MY,77.0,few clouds,6.03,102.28,Daseda Guest House
358,Road Town,VG,80.6,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
359,Alofi,NU,84.2,light rain,-19.06,-169.92,Taloa Heights
360,Emerald,AU,77.0,clear sky,-23.53,148.17,The Irish Village
365,Hattiesburg,US,75.2,clear sky,31.33,-89.29,Quality Inn & Suites
369,Corrente,BR,75.79,light rain,-3.74,-43.34,Hotel GG
370,Papetoai,PF,87.8,clear sky,-17.5,-149.87,InterContinental Resort And Spa Moorea
372,Phangnga,TH,77.0,few clouds,8.45,98.53,Muang Thong Hotel
375,Isangel,VU,78.33,moderate rain,-19.55,169.27,Volcano Sea View Tree House
380,Ojinaga,MX,84.2,clear sky,29.57,-104.42,Suites Las Palmas
381,Bac Lieu,VN,82.26,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
382,Kismayo,SO,82.2,broken clouds,-0.36,42.55,Agan-Hotel
